rank,player,real_time,comment,date,category
65,SmokeyMarcel,45:23,"Small pb, with my best early game so far.",2023-02-23,Any%
66,Fe,45:28,,2015-05-26,Any%
66,timmon,45:28,SeemsGood,2018-09-01,Any%
68,FreyasSpirit,45:33,ran 3 weeks ago,2021-01-24,Any%
68,apathyduck,45:33,red tower,2021-09-30,Any%
68,dayne,45:33,slow slow kraid tank,2023-04-01,Any%
71,Tullymarfus,45:34,Who needs moonfall,2023-03-27,Any%
72,Richman3mm,45:45,this one's for Oranges,2020-05-02,Any%
73,matrick,45:46,"Come and get me Brojakt (IGT 0:32, 20% PRKD)",2017-08-23,Any%
74,Oshino,45:49,Decent run overall. Some goofy mistakes.,2021-06-24,Any%
75,cfb,45:50,You can do anything you put your mind to.,2016-03-02,Any%
75,LakeDemon,45:50,,2021-10-06,Any%
75,DirtyMike,45:50,Never make a bet with Oshino LOL,2023-04-07,Any%
78,Dred4170,45:51,lucky sunday pb,2017-07-03,Any%
79,jakef1891,45:52,,2017-11-21,Any%
80,TheDude9005,45:55,Not done but may do some hundo for tourney,2016-10-30,Any%
81,ld_walker,45:56,be back some day,2017-01-07,Any%
82,kojakt,45:57,45 HeyGuys,2016-07-28,Any%
82,professorschool,45:57,First 45 and IGT30. 4-tank!,2022-08-27,Any%
82,amarovski,45:57,"finally... sub 46, maybe grind till 44 and PRKD",2022-10-22,Any%
85,hypo,45:59,sub 46 x),2020-10-13,Any%
86,MisterJGiggles,46:00,All I had to do was not lose 30 seconds in Maridia and this would have been a 45,2021-04-11,Any%
87,bferdowsian,46:05,pkdr,2021-12-17,Any%
88,TGDerp,46:06,mash a through doors to go faster,2021-04-22,Any%
89,HolyPockets,46:11,Well all right then.,2019-05-30,Any%
90,Edu207,46:12,"Play it safe, you might not regret it",2018-10-13,Any%
91,COOLKID,46:20,,2019-01-02,Any%
92,Zeldafan316,46:21,45 within sight,2020-09-01,Any%
93,mm2nescartridge,46:32,tftb eddie,2022-09-21,Any%
94,nutella4eva,46:35,Unleash the mane!,2018-08-08,Any%
95,fruitbatsalad,46:36,shout-out to Phantoon for the fast fast,2018-10-24,Any%
96,jronaggaz,46:39,somehow i played well,2018-03-17,Any%
97,Elminster,46:40,-46 to get a 46 for 46th,2018-07-14,Any%
98,bressingham,46:42,sick run,2020-12-22,Any%
98,ForeverChangingMyUsernameAllTheTime,46:42,I was COOOOOOOOOOOOOKIN on this grind.,2023-03-05,Any%
100,hero_82,46:44,I am here now. All is well.,2023-01-26,Any%
101,Leodox,46:46,46 is free bro,2016-05-17,Any%
102,Caznode,46:47,Who needs Kraig quick kill anyways?,2015-02-08,Any%
102,CynanMachae,46:47,Got carried by that 15s gold Lower Norfair! First 46!,2021-11-05,Any%
104,MSDS3170,46:49,a satisfying run of an amazing game,,Any%
104,Whewty,46:49,I guess you could say it's getting pretty serious,2020-11-13,Any%
106,skrooger,46:50,Not a bad run :),2016-11-12,Any%
107,Enmet,46:53,B u z Z F o r C e,2018-08-07,Any%
107,KNO3,46:53,Been a long time coming.,2019-01-21,Any%
109,mctimothy,46:54,KPDR Goal Achieved!,2022-05-11,Any%
110,released,46:55,,2015-06-28,Any%
111,EpiclyEpic,46:56,The sub-48 skip - 2 2 %,,Any%
112,BFrobber,46:57,decent bubble mountain,2022-08-22,Any%
113,S_Holbro,46:58,goal achieved!,2022-09-23,Any%
114,waffle42,46:59,new route eventually,2015-12-01,Any%
115,Flowsouth8,47:01,Time set on a Super NT.,2019-11-05,Any%
116,Kingofthehill476,47:02,PRanKeD,2022-07-15,Any%
117,omnigazer,47:04,Closing up on top 100,2021-06-13,Any%
118,Midboss,47:06,,2017-10-14,Any%
118,hilborn,47:06,tourian pls,2018-01-04,Any%
120,heny,47:16,soon™,2015-05-27,Any%
120,cemo,47:16,"46 feels doable, shoutouts to ed",2021-09-04,Any%
122,MawcDrums,47:19,Fast Fast Phantoon is the only reason for this PB,2016-06-05,Any%
123,WhiteMageBecky,47:20,,2018-07-25,Any%
124,kekumanshoyu,47:25,the dang leo room :(,2018-08-23,Any%
125,somewes,47:26,,2020-10-15,Any%
126,Nintoaster_81,47:29,4-second improvement.  PB is PB,2021-03-15,Any%
127,kreichjr,47:30,Missed the Skip. ><,,Any%
127,Caaaaarlito,47:30,"last run with this route, next mission: PRDK",2017-03-13,Any%
127,Stunt_sr,47:30,Easy Game,2019-12-31,Any%
130,Dyce_NL,47:31,,2022-05-10,Any%
131,beastworm,47:33,best run to date,2022-01-31,Any%
132,magmapeach,47:44,the entire 2nd half was a disaster,2016-08-27,Any%
133,spidey-widey,47:45,PRKD is pretty cool,2015-09-01,Any%
133,jichi9,47:45,forgot to upload this here :p,2023-02-15,Any%
135,goop.Q,47:46,uh ok,2017-10-16,Any%
135,McBrady,47:46,,2020-08-29,Any%
135,Dr_Girlfriend,47:46,Dedicated to Dr_Boyfriend,2021-07-18,Any%
138,AgentKoolaid,47:48,Comcast boss strikes again,2020-02-27,Any%
139,bnetters,47:49,"weird run, dash of salt",2022-10-08,Any%
140,Lexasaurus_rex,47:52,ouga chaca,2016-03-02,Any%
140,Ponk,47:52,Uga Chaka Uga Chaka,2018-04-04,Any%
142,Ethan,47:55,woohoo,2021-10-01,Any%
143,Amadeus1005,47:59,PKRD,2022-09-19,Any%
143,SeanCass,47:59,"""47 by 0.5px"" - afs",2023-05-06,Any%
145,armedgooner,48:08,Baby killed the 47,2020-05-05,Any%
146,gabriel,48:09,I'm back on the grind. Will definitely go for a high 46.,2018-10-23,Any%
147,Crocomirepoop,48:15,"finally reached my goal, got the 32",,Any%
148,Spiriax,48:19,"""I'm gonna take a break"", proceeds to phat PB two days after MingLee",2016-11-29,Any%
149,PassivePac,48:21,2 sec PB lol,2023-01-31,Any%
150,Brother main,48:22,how do I metroid skip,2014-12-05,Any%
150,renegade917,48:22,Got the metroid skip,2019-02-05,Any%
152,Mackemagi,48:24,"Definitely a good run, even though I lost 40 seconds from grav suit to golden 4!",,Any%
153,Yeahboiii5,48:27,first ever sub 10 varia is the only thing im proud of ??,2014-12-11,Any%
154,Xelna,48:30,B o t w o o n,2015-08-15,Any%
154,45oranges,48:30,not a good run t-.-t,2018-03-05,Any%
154,gill42,48:30,speed incarnate,2020-08-12,Any%
157,HemZar,48:32,,2022-03-15,Any%
158,UNHchabo,48:34,Late-game nerves kicked in.,2020-08-27,Any%
158,Toasty,48:34,calzone%,2020-11-14,Any%
160,Belthasar,48:35,Lost at least 30 seconds in tourian.,2016-05-21,Any%
161,Saron_Gas,48:38,new route pb (49:12),2017-02-20,Any%
161,Annelits,48:38,,2017-10-06,Any%
163,retro,48:39,solid run. hit my goal for now. next time I play will probably be with PRKD.,2016-12-03,Any%
164,Grondious,48:40,2 PB's in one day! :D,2018-01-26,Any%
165,Stunt Coyote,48:42,-38 after +24? that makes no sense.. oh well... 48!,2016-07-17,Any%
166,Bioactivesocks,48:43,Onward to new route,2017-02-24,Any%
166,kuru,48:43,Offline. I'll upload the VOD eventually.,2022-04-23,Any%
168,MustardCabbage,48:44,went from 51 to 48 in a single run,2018-05-19,Any%
169,kosmicd12,48:45,Wildberry poptarts,,Any%
170,jonB,48:46,forty-eight,,Any%
170,lioran,48:46,Sub 50 was a lie... it never happened,2015-01-03,Any%
172,Cygrade,48:48,Lost a minute on the Gravity split,2015-06-24,Any%
172,CanadianOwl,48:48,"I wanted a 48, and got two of them",2019-12-22,Any%
172,Maniacal42,48:48,36 s to save Varia to speed yikes,2022-08-04,Any%
175,Rumbleminze,48:49,,2018-09-01,Any%
175,Derxu,48:49,Time for the real deal!,2020-04-20,Any%
177,pineonline,48:51,unexpected derust PB,2020-01-08,Any%
178,Melonax,48:54,48 club heck yee i would like to thank jeebus and my mom and sephy,2021-10-26,Any%
178,tewfus,48:54,"Sorry for the terrible buzz on my mic, but hey… new PB",2022-04-14,Any%
180,Mishrak,49:05,A T T I C,2016-06-29,Any%
180,typwo,49:05,a few good moments,2018-11-30,Any%
180,Popplars,49:05,This runs for you Mr. 80 spf wearer guy!,2019-05-26,Any%
183,AzulynoT03,49:07,Pb Humilde Cof Cof,2019-01-23,Any%
184,OldSchooLTribe,49:09,prkd,2017-10-28,Any%
185,juny,49:10,let's keep going! positive mind always!,2018-05-10,Any%
185,CIaireBear,49:10,"Mid game needs some work. Solid run overall, time to learn some faster strats : 3",2019-03-20,Any%
187,danstwitch,49:12,Be ready when Deerforce smiles upon you.,2015-02-08,Any%
187,Benko,49:12,Casual sub 50.,2015-08-15,Any%
189,renegade91,49:19,Getting better,2019-01-06,Any%
190,Eduardo metroid3,49:21,Manaus Am,2018-08-30,Any%
191,1mpuls3,49:24,I did it ya'll,,Any%
192,hotarubi,49:25,0:31 in game,2017-10-25,Any%
193,Kronicsauce,49:26,I got Up In 2. No run can ever compare.,,Any%
193,Tilimorf,49:26,,2021-09-10,Any%
195,schematico,49:27,,2017-12-25,Any%
195,KRISTOPHOLO,49:27,Second sub-50!,2020-10-27,Any%
197,hazz,49:28,right in the FUCKING HEAD!!! YEEEAAAHHH!,2015-08-09,Any%
197,Thorneto,49:28,Phantoon is a dumb elephant,2020-01-16,Any%
197,dgm,49:28,,2022-11-21,Any%
200,plasma_enhanced,49:35,,2022-06-03,Any%
201,Axl,49:36,Didn't hit record. Can still gain 30 seconds. Also hai Guru,2015-10-26,Any%
201,Oh_DeeR,49:36,no 48 because of Tourian,2019-03-11,Any%
203,zealous_benediction,49:38,Finally done with this category,2015-01-02,Any%
203,personitis,49:38,Should've had sub-50 a long time ago.,2016-10-09,Any%
205,wardrinker,49:39,im not done yet,2020-01-04,Any%
206,kevnastics,49:40,"Finally heckin did it…Tourian for the win, as per usual",2022-05-20,Any%
207,Frozencup,49:41,Thanks to MrLandmaster for this site.,2014-05-24,Any%
207,claudiothx1138,49:41,Behemoth is the one,2017-03-25,Any%
207,Zarcatus,49:41,"Emulator: BizHawk 2.0.1 Mid-Mid Phantoon, 4 E-Tanks https://splits.io/3xnh",2019-05-04,Any%
207,kingsalmon_,49:41,Finally passed the 50 barrier. now 38 GTC or 100%,2020-04-22,Any%
211,Dhaos TK31,49:42,YESSS YES YES WIE IS JE KANKERVADER,2017-05-19,Any%
212,Sweetkid689,49:43,,2017-09-05,Any%
212,Loogy,49:43,,2022-09-04,Any%
214,Karenkonou,49:44,got it,2018-08-11,Any%
214,Girl Named Captain,49:44,"baby it's a freeway, where nothing can destroy you",2021-06-07,Any%
216,jimmyychangas,49:45,Baby skip skip for the 49,2021-09-02,Any%
217,Solo,49:46,One second PB,2015-01-21,Any%
217,lackattack24,49:46,great LN,2020-10-28,Any%
217,DMC_Sparda,49:46,It's done! I'm finally retiring from Any% :D,2022-11-06,Any%
220,Pasky,49:47,"Pure crap, missed pillars, missed halfie, utter shit.",,Any%
220,ExtremeSP1TF1R3,49:47,a decent run but exiting lower norfair cost me time,2014-09-05,Any%
220,RyanLockwood,49:47,Cut the 50. Pretty solid run. Im very happy with this milestone achievement,2016-01-19,Any%
220,vertex5,49:47,tournament race PB,2016-05-18,Any%
220,pegasusrage,49:47,on to the next goal,2018-05-08,Any%
220,Oneiam82,49:47,First Sub-50 & Early Ice!!,2021-04-08,Any%
220,swunsh,49:47,first sub 50,2022-09-15,Any%
227,apple_for_you,49:48,I would like to thank moat missiles for bringing me where I am today,2019-05-04,Any%
227,Sirotaca,49:48,Baby's first sub-50,2019-10-12,Any%
227,Stovetop1321,49:48,First sub 50 and sub 50 with spazer beam. Thank you to everyone for all the support!,2021-10-26,Any%
230,total,49:50,took long enough,2017-12-28,Any%
231,Countcreep,49:51,SGQF,2016-05-31,Any%
231,DCR,49:51,Sub-50!!! Sub-50!!!,2017-03-24,Any%
231,V0lrat,49:51,First Sub 50 - Time for a new game?,2017-06-04,Any%
231,MassHesteria,49:51,Skipped the 50,2020-08-09,Any%
235,einbert,49:52,D e e R F o r C e,2016-08-08,Any%
235,carcinogin,49:52,lost 30 seconds in tourian,2018-01-20,Any%
235,hcfwesker,49:52,this game is hard ..,2018-03-23,Any%
238,Ketaminedrift,49:53,"one step, two step",2018-04-07,Any%
238,Moagim,49:53,Finally got dat sub 50!,2018-05-09,Any%
240,Darko,49:54,Special Thanks to Kayomi McDonald,2022-10-27,Any%
241,basillicaforce,49:55,got it,2018-03-30,Any%
242,Chish,49:56,,2021-07-17,Any%
243,prkay,49:57,Got sub 50 pogchamp,2018-04-01,Any%
243,BrJoker,49:57,sub 50 *-*,2022-03-13,Any%
245,sykobl86,49:58,,2017-12-18,Any%
245,Tiberius,49:58,5 E-Tanks and unfortunely Moat Missiles.,2021-09-04,Any%
247,Ryehana,49:59,"Horrid bossfights, but still hyped to break sub 50 :).",2017-07-08,Any%
248,PSIcoh,50:00,most scuffed kqk ever. 49 gatekeeper,2023-05-20,Any%
249,idlechild,50:03,This run has character,2022-10-18,Any%
250,greenham,50:06,farming flyway ftw,2021-09-30,Any%
251,BluePlasmaSpark,50:08,3rd run that shouldve been sub 50 :(,2018-09-02,Any%
252,Xerxes81,50:09,close but no cigar,2018-06-21,Any%
253,thejakjak,50:11,*sigh*,2017-10-10,Any%
254,Nighty93,50:12,Old Race PB,2018-08-20,Any%
254,Alex_X8,50:12,Closer to sub 50 :D,2021-09-14,Any%
256,Trogdor,50:13,chokes,2015-01-21,Any%
256,Adam1729,50:13,,2020-05-31,Any%
258,mechashiva,50:14,hybrid route. IGT 34. never go full goober,2017-04-07,Any%
259,_bullseye_,50:17,double PB in 24 hours :P hello 49:xx,2019-08-05,Any%
260,Kanzeon,50:18,One step closer to escape,2016-09-20,Any%
261,kelcharge,50:20,"phantoon, botwoon, halfie, draygon, reverse halfie",2017-11-11,Any%
262,Glaucio_Souza,50:22,Good run with Ridley sucks!,2023-01-10,Any%
263,benlake412,50:23,This was the hardest thing to get ever but hey ho lets go on,2016-04-01,Any%
264,abortion_shark,50:32,シ,2016-08-24,Any%
265,backtobasix,50:33,D e e R F o r C e,2018-03-24,Any%
265,JUAN,50:33,DIAMONDS,2018-04-22,Any%
267,Krankdud,50:36,,2016-11-03,Any%
268,Financier,50:38,,2018-07-09,Any%
269,hopespell,50:39,Skipped dinner percent,2021-12-14,Any%
270,aircheese,50:40,let's get that sub 50!,2015-06-02,Any%
271,ommy,50:43,should do runs more - is that the point?,2023-02-19,Any%
272,v1ncelol,50:44,One baby skip and a good botwoon away from a sub 50,2021-07-05,Any%
273,Big Bossman,50:45,Super Metroid,,Any%
274,rkctkc,50:47,,2020-09-08,Any%
275,Croakomire,50:48,If you asked me what was happening I couldn't tell you if I tried,2018-07-28,Any%
275,wordspoken,50:48,Hadn't pb'd in a while :),2023-03-10,Any%
277,omnislash88,50:49,51 skip hype,2018-03-14,Any%
278,theshoty,50:50,bad,,Any%
278,renegade113,50:50,it tolls for thee,2018-05-10,Any%
280,Laanyy,50:51,australianinternet%,2017-12-11,Any%
280,termigatorx,50:51,slow slow phantoon,2018-01-18,Any%
282,Aegyoforce,50:52,en route,2018-04-18,Any%
282,Solski,50:52,Draygon remains at large,2020-01-22,Any%
284,portgasdaxce,50:55,played just for fun and got a pb unfortunately not on twitch... sucks,2015-07-01,Any%
284,innorush,50:55,Second tourney race PB in a row. I should do more tourneys.,2018-08-10,Any%
286,luminairevista,50:59,late game fell apart,2018-03-26,Any%
287,tridentexe,51:01,,2018-05-27,Any%
288,Delsaber,51:07,,2018-07-11,Any%
289,Meddadog,51:11,,2018-10-16,Any%
290,bashbromayhem,51:13,Didn't see that coming,2014-05-27,Any%
291,Smace,51:15,Inching ever closer to sub-50,2020-06-07,Any%
291,Feco_,51:15,,2022-05-22,Any%
293,daddypnot3d,51:16,First day back PB. Time to climb the leaderboard,2016-01-30,Any%
294,cellopassion17,51:20,muahaha,2018-05-15,Any%
295,Soppanaama,51:22,,2016-09-29,Any%
295,gyromedia,51:22,late game chokes,2018-03-20,Any%
297,Shenjoku,51:25,SNES Mini + elgato is my new favorite thing ever :),2019-03-09,Any%
298,Gnome,51:27,Getting closer to that sub 50!,2015-07-25,Any%
299,itzmeeix,51:28,getting there,2015-08-21,Any%
299,dstruthers,51:28,"0:36 game time, 21% item collection",2017-01-21,Any%
299,kunerfa,51:28,tourian chokes,2018-01-01,Any%
302,Dessyreqt,51:31,Too frustrating to get,,Any%
302,Ogreblast,51:31,time is on my side,2018-04-22,Any%
304,charles_black,51:34,f/f/f phantoon with a fast respawn,2016-07-26,Any%
305,MrLandmaster,51:35,Race PB,,Any%
305,FaeRhan,51:35,metroids didn't cooperate,2015-08-09,Any%
307,antimatterhorse,51:36,still 2 minutes,2016-02-13,Any%
307,VMan7,51:36,Massive mistakes from PB to Gravity,2016-06-04,Any%
309,Jollyek,51:38,51 not bad,2021-07-08,Any%
310,Mattoi,51:39,still bad but I'm too lazy to practice rn,2019-03-14,Any%
311,TriggerMichael,51:41,Shout outs to all the support I had on this run!,2017-08-23,Any%
312,alkalinetea,51:44,+20 at gravity -15 at end,2018-03-07,Any%
313,Sinnoh,51:51,Part 1: http://www.twitch.tv/sinnoh1/c/3020297,,Any%
313,knightartorias19,51:51,skipped the 52,2016-10-23,Any%
315,Danetch,51:52,The video will get available at 12:00 AM Feb 5th  JST,2021-02-03,Any%
316,marcoskwkm,51:53,swoop x7,2016-05-07,Any%
317,QuikEMart,51:56,Nearly full halfie and spike suit!,2020-01-28,Any%
318,iloveshred,51:57,Getting closer to sub 50!,2019-07-14,Any%
319,SnareRush,51:58,Cosmic Surfin',2019-04-06,Any%
319,MumuDidi,51:58,mhhkay,2019-08-13,Any%
319,mrBeachgrove,51:58,Grind over. Chase for sub 50 will take a while.,2020-04-18,Any%
319,PapaSchmo,51:58,The 52 skip! :),2021-10-24,Any%
323,Maisgueuh,52:02,,2019-05-04,Any%
324,Flop3434,52:03,Cut Leo Pnote and Wild,2014-07-29,Any%
324,redy9567,52:03,This run was made possible by the Ridley E-tank skip and the baby skip!,2018-03-15,Any%
326,ducktapes,52:04,,2016-01-31,Any%
327,JPOldGames,52:06,Not good enough.,2018-06-12,Any%
327,swap_space,52:06,Where the hell did that come from?,2018-12-16,Any%
327,romaizerli,52:06,"Bad Draygon, bad LN",2020-09-16,Any%
327,fenixdown23,52:06,Lots of gold here,2021-04-24,Any%
331,RussellTLM,52:10,Finally finished a run with a metroid skip Kreygasm,2017-12-19,Any%
332,gojeran,52:12,,,Any%
333,juliohfoliveira,52:13,,2021-03-14,Any%
334,oblivion294,52:16,,2014-07-31,Any%
335,wafflesawce,52:17,Too much sawce for your waffles,,Any%
335,valdeawinter92,52:17,Super Metroid,2018-03-22,Any%
337,ICheatAtGolf,52:18,Perfect Phantoon,,Any%
337,BlazingAL,52:18,Sheesh!,2022-03-18,Any%
337,Gumshoe,52:18,,2022-11-06,Any%
340,Meneldur,52:20,Farmer Samus,2020-02-27,Any%
341,Longneckturtle,52:23,Finally progress!,2017-11-18,Any%
342,denis1080,52:24,"""Joe, when you see Emily...tell her to wait for me...'cause I still have work to do."" (00:36 IGT)",2016-02-29,Any%
343,Verz,52:32,LN was poopy,2015-12-19,Any%
343,stefcad,52:32,Sub 50 income,2016-12-30,Any%
345,psilo81,52:33,,2018-01-14,Any%
346,aiuax,52:35,D e e R F o r C e,,Any%
346,iora,52:35,36 gt - call me glue CUZ I HELD IT TOGETHER,2014-12-05,Any%
346,redxparasite,52:35,Boss RNG. (╯°□°）╯︵ ┻━┻,2021-04-05,Any%
349,runnerwatcher,52:36,,2017-06-12,Any%
350,crossproduct,52:39,Birthday PB!! B-Day PB-Day!!,2017-08-10,Any%
351,fuerchter,52:40,"oh noes, i'm scurred of ben and mish D:",2015-05-24,Any%
352,w1steria,52:41,Late night PB,2018-03-27,Any%
353,vorpal,52:42,lmao a frog,2016-05-26,Any%
353,darksabre,52:42,race pb by over a minute,2016-07-16,Any%
355,gentilefreeze,52:44,4/9 gold splits,2018-01-31,Any%
356,klosty,52:45,Cut the Twig,,Any%
357,Tyderium,52:46,Still not there yet,2017-11-29,Any%
358,HyruleHero,52:47,when a run finally goes right,2019-05-11,Any%
359,Spike,52:48,PBs during races: yay,,Any%
360,Danbo,52:49,https://imgur.com/a/lTAbtaG,2018-04-18,Any%
361,leonidas9000,52:50,,2018-03-17,Any%
361,EXAKTScience_,52:50,53 skip!,2023-01-22,Any%
363,PCTrax,52:51,New PB after awhile.,2020-02-16,Any%
364,sonicattackk,52:53,"about time, and lots of time to save!!",2018-03-14,Any%
365,Golden,52:57,D e e R F o r C e,,Any%
365,MarioMayhem,52:57,late split and confirmed a 52:57. sub 53 feels good!,2019-03-15,Any%
367,enigmadon,52:58,strong start horrible end,2018-05-11,Any%
367,NobodyNada,52:58,First sub-5 bombs!,2023-03-06,Any%
369,Philament,52:59,Misplaced power bomb cost me almost 20 sec FailFish,2015-04-03,Any%
369,polarbearbunny,52:59,this run has Rocket Power vibes,2021-07-04,Any%
371,Syntic,53:01,Submitting my time for the Prodigy tourney... It's old.,2019-03-17,Any%
372,izerli,53:04,Awful LN,2019-02-13,Any%
373,Schmeman,53:08,vod not saved,2017-02-25,Any%
374,pdizzle,53:09,"Hey yo Trex, come help me swag this kid out",2016-10-08,Any%
374,HaclifAminara,53:09,First PB in a long time.,2021-07-31,Any%
376,xepherly,53:11,timmaw!,2018-01-16,Any%
377,Eriror,53:12,,2022-10-07,Any%
378,Sapphron,53:15,solid run,2019-03-03,Any%
379,BupBupper,53:16,All gold splits... until climb spark. Lost the 52:XX to THAT. Gonna be tough to beat.,2021-10-16,Any%
380,CrisBee,53:19,"The last jump is in captivity, the metroid is at peace",2017-08-31,Any%
380,ptoil,53:19,missed kqk but managed baby skip,2020-01-21,Any%
382,sinister1,53:21,Cut the Vorpal :D,,Any%
382,coufu,53:21,"Bad movement, but almost perfect boss fights.",2016-04-28,Any%
384,furiouSteve,53:23,PRKD new route,2018-03-14,Any%
385,slackwing,53:24,,2022-08-04,Any%
386,Albrecht,53:25,bad,2016-09-26,Any%
387,Peteza34,53:26,,2019-05-21,Any%
387,AnotherFastSamus,53:26,,2021-08-21,Any%
389,fslynx,53:28,ezpz,2014-10-15,Any%
390,skorph2014,53:30,"Twitch skipped first 10 minutes, but i only lost time in those",2015-03-26,Any%
391,Jockesomfan,53:31,bad second half!,2020-02-13,Any%
392,saberkok,53:35,bad dray bad LN bad tourian,2016-01-14,Any%
392,honeybun,53:35,choke%,2017-11-03,Any%
394,vanityangel,53:37,deerforce,2018-03-27,Any%
395,makobytes17,53:39,I didn't want halfie or reverse halfie anyway.,2019-05-04,Any%
396,powderedphenom,53:40,,2018-05-14,Any%
396,matrixugly,53:40,I had to pee so bad by the end of the run,2018-12-02,Any%
396,alexbascur1,53:40,53:39 but I don't care,2019-11-16,Any%
399,Hubert0987,53:44,3rd run back. i guess i still am ok at the game,2017-05-05,Any%
400,AngelisX,53:47,"Cut 55. More to do, as always.",2014-12-24,Any%
401,andy,53:48,See ya Twig,2014-12-08,Any%
402,Steeped21,53:49,D e e R F o r C e,,Any%
403,8BitisGr8,53:54,lost a minute on grav lol,2018-09-04,Any%
404,Andyrion,53:56,1 hp in Draygon and survived ketchup. Highlander Samus!,2018-09-26,Any%
405,Lambert77,53:58,http://i.imgur.com/OfkqNce.jpg,,Any%
406,Xterminator,54:00,Robbed of my 53 lol.......54:00.27 Prob the wackiest phantoon start I've ever had.,2021-06-26,Any%
407,Claude,54:01,"Twig is dead, SM64 is alive, and Super Metroid owns",2016-08-12,Any%
407,fyodorjung,54:01,"close enough to 53, time for glitched%",2016-12-08,Any%
